model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name,website_verified,logo_verified,verification_source
Kronos-Tokenizer-base,NeoQuasar,https://huggingface.co/NeoQuasar/Kronos-Tokenizer-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Kronos-Tokenizer-base is a specialized tokenizer model designed for time-series forecasting tasks, utilizing PyTorch library, optimized for processing and analyzing sequential data in various applications.",2694774,70,time-series-forecasting,pytorch,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-MLX-6bit,lmstudio-community,https://huggingface.co/lmstudio-community/Qwen3.8-27B-MLX-6bit,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.8-27B-MLX-6bit is a specialized AI model designed for generating text that is both semantically aligned with and contextually similar to the input image-text pairs, utilizing the transformers library.",2680406,9,image-text-to-text,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-MLX-5bit,lmstudio-community,https://huggingface.co/lmstudio-community/Qwen3.8-27B-MLX-5bit,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.8-27B-MLX-5bit is a specialized AI model designed for generating new text that is semantically aligned with input images and texts, using the transformers library. It is part of the lmstudio-community organization and is optimized for 5-bit quantization, offering efficient computational performance.",2650325,0,image-text-to-text,transformers,YES,YES,DuckDuckGo search + HTTP verification
Ornith-1.5-9B-GGUF,ornith-ai,https://huggingface.co/ornith-ai/Ornith-1.5-9B-GGUF,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Ornith-1.5-9B-GGUF is a text-generation AI model designed for creating detailed and varied text outputs, such as articles, scripts, and descriptions, using the transformers library. Developed by ornith-ai, it boasts a 1.5 billion parameter size, enabling nuanced language understanding and generation.",2625566,280,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-NVFP4,unsloth,https://huggingface.co/unsloth/Qwen3.8-27B-NVFP4,https://unsloth.ai/,https://unsloth.ai/favicon.ico,"Qwen3.8-27B-NVFP4 is a large language model designed for advanced natural language processing tasks, including text generation, question answering, and text summarization, specifically trained by unsloth.",2588917,408,,,YES,YES,Known official domain + HTTP verification
Qwen3-TTS-12Hz-1.7B-CustomVoice,Qwen,https://huggingface.co/Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-TTS-12Hz-1.7B-CustomVoice is a specialized text-to-speech model designed for generating speech at a very low pitch frequency, with a customized voice sample included in the dataset, providing high-fidelity audio synthesis for specific applications requiring low-frequency tones.",2583435,1932,text-to-speech,,YES,YES,Known official domain + HTTP verification
Gemma-4-E4B-Uncensored-HauhauCS-Aggressive,HauhauCS,https://huggingface.co/HauhauCS/Gemma-4-E4B-Uncensored-HauhauCS-Aggressive,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Gemma-4-E4B-Uncensored-HauhauCS-Aggressive is a specialized AI model designed for generating text from image-text inputs, particularly focusing on aggressive and uncensored content, developed by HauhauCS for the image-text-to-text pipeline task.",2562002,1090,image-text-to-text,,YES,YES,DuckDuckGo search + HTTP verification
SmolLM2-135M,HuggingFaceTB,https://huggingface.co/HuggingFaceTB/SmolLM2-135M,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"SmolLM2-135M is a text-generation AI model designed for creating coherent and contextually appropriate text, suitable for applications such as language modeling and automatic content generation.",2542078,230,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
chronos-bolt-tiny,autogluon,https://huggingface.co/autogluon/chronos-bolt-tiny,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"chronos-bolt-tiny is a time-series forecasting model developed by autogluon specifically designed for producing accurate predictions in short-term intervals, making it ideal for applications requiring rapid response and real-time analysis.",2523750,13,time-series-forecasting,,YES,YES,DuckDuckGo search + HTTP verification
bge-reranker-large,BAAI,https://huggingface.co/BAAI/bge-reranker-large,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bge-reranker-large is a large-scale AI model developed by BAAI for feature extraction, specifically designed to refine and enhance the relevance and accuracy of text data within the transformers library.",2519284,467,feature-extraction,transformers,YES,YES,DuckDuckGo search + HTTP verification
Wan_2.1_ComfyUI_repackaged,Comfy-Org,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Wan_2.1_ComfyUI_repackaged is a diffusion model repackaged for ComfyUI, designed for generating images using a single diffusion file pipeline, primarily used in the domain of image synthesis.",2512454,964,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
gte-reranker-modernbert-base,Alibaba-NLP,https://huggingface.co/Alibaba-NLP/gte-reranker-modernbert-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"gte-reranker-modernbert-base is a text-ranking AI model developed by Alibaba-NLP, leveraging the transformer library to improve the ranking of search results and information retrieval systems.",2497071,98,text-ranking,transformers,YES,YES,DuckDuckGo search + HTTP verification
all-MiniLM-L6-v2,Xenova,https://huggingface.co/Xenova/all-MiniLM-L6-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"all-MiniLM-L6-v2 is a feature extraction model from Xenova designed to process text data, suitable for tasks requiring language understanding and manipulation, leveraging the transformers.js library for implementation.",2474222,144,feature-extraction,transformers.js,YES,YES,DuckDuckGo search + HTTP verification
DeepSeek-OCR,deepseek-ai,https://huggingface.co/deepseek-ai/DeepSeek-OCR,https://www.deepseek.com/,https://www.deepseek.com/favicon.ico,"DeepSeek-OCR is a specialized AI model developed by deepseek-ai that translates images and associated text into detailed textual descriptions, using the transformers library to process and generate precise textual outputs for various image-text pairs.",2472241,3350,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.5-27B,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.5-27B is a specialized AI model designed for generating text from image-text inputs, utilizing the transformers library, and capable of producing coherent and contextually appropriate text outputs.",2472154,1040,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
all-distilroberta-v1,sentence-transformers,https://huggingface.co/sentence-transformers/all-distilroberta-v1,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"all-distilroberta-v1 is a distilled version of Roberta pretrained on a large scale of sentence-pair and sentence-triplet data, optimized for sentence similarity tasks, leveraging the sentence-transformers library to generate embeddings that can be used for semantic similarity analysis.",2469836,43,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.5-35B-A3B,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.5-35B-A3B is a specialized AI model designed for generating text that aligns with given images and textual prompts, using the transformers library, and is optimized for a 35B parameter size with additional A3B optimizations for enhancing image-text-to-text translation tasks.",2463897,1499,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Ornith-1.5-35B-A3B-GGUF,ornith-ai,https://huggingface.co/ornith-ai/Ornith-1.5-35B-A3B-GGUF,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Ornith-1.5-35B-A3B-GGUF is a text-generation AI model specifically designed for generating high-quality text, useful in applications such as content creation, chatbots, and personalized recommendations. Developed by ornith-ai, it leverages the transformers library to process and generate text based on a diverse and extensive dataset.",2455746,366,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.5-0.8B,Qwen,https://huggingface.co/Qwen/Qwen3.5-0.8B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.5-0.8B is a language model specialized in generating text that corresponds to given images and textual descriptions, using the transformers library, designed for applications requiring image-text-to-text synthesis tasks.",2455678,690,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
mms-300m-1130-forced-aligner,MahmoudAshraf,https://huggingface.co/MahmoudAshraf/mms-300m-1130-forced-aligner,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"mms-300m-1130-forced-aligner is a professional AI model developed by MahmoudAshraf specifically designed for automatic speech recognition, using the transformers library, capable of processing and aligning 300 million tokens of audio data.",2442043,102,automatic-speech-recognition,transformers,YES,YES,DuckDuckGo search + HTTP verification
koelectra-small-v3-nsmc,daekeun-ml,https://huggingface.co/daekeun-ml/koelectra-small-v3-nsmc,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The koelectra-small-v3-nsmc model by dAeKeUn-ml is a specialized text classification AI designed for sentiment analysis, using the NMSC (New Microscopic Sentiment Classification) dataset, and implemented with the transformers library.",2424091,7,text-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
embeddinggemma-300m,google,https://huggingface.co/google/embeddinggemma-300m,https://www.google.com/,https://www.google.com/favicon.ico,"embeddinggemma-300m is a sentence similarity model based on the sentence-transformers library, developed by Google, designed to compute embeddings for sentences that represent their meaning in a high-dimensional space, enabling efficient comparison and similarity calculations.",2417891,1877,sentence-similarity,sentence-transformers,YES,YES,Known official domain + HTTP verification
Krea-2,Comfy-Org,https://huggingface.co/Comfy-Org/Krea-2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Krea-2 is a diffusion single-file AI model used for generating images from textual descriptions, leveraging Comfy-Org's pipeline and diffusion technology.",2415898,503,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-GGUF,lmstudio-community,https://huggingface.co/lmstudio-community/Qwen3.8-27B-GGUF,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.8-27B-GGUF is a large-scale AI model designed for advanced natural language processing tasks, including text generation, question answering, and content classification, using the Gated Good Quality Uncensored Format (GGUF) dataset.",2414047,38,,,YES,YES,DuckDuckGo search + HTTP verification
wav2vec2-large-xlsr-53-hungarian,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The wav2vec2-large-xlsr-53-hungarian model, created by jonatasgrosman, is a specialized automatic speech recognition AI designed for processing and recognizing Hungarian speech, using the wav2vec2 architecture.",2404364,10,automatic-speech-recognition,transformers,YES,YES,DuckDuckGo search + HTTP verification
clip-vit-large-patch14-336,openai,https://huggingface.co/openai/clip-vit-large-patch14-336,https://openai.com/,https://openai.com/favicon.ico,"The clip-vit-large-patch14-336 model, developed by openai, is specifically designed for zero-shot image classification tasks, leveraging its large pre-trained ViT architecture to recognize and categorize images effectively without needing any fine-tuning.",2398877,309,zero-shot-image-classification,transformers,YES,YES,Known official domain + HTTP verification
jina-embeddings-v3,jinaai,https://huggingface.co/jinaai/jina-embeddings-v3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"jina-embeddings-v3 is a specialized AI model designed for feature extraction, utilizing the transformers library to generate embeddings from textual data, enabling applications such as text classification and information retrieval.",2387455,1153,feature-extraction,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-30B-A3B,Qwen,https://huggingface.co/Qwen/Qwen3-30B-A3B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-30B-A3B is a text-generation AI model designed for creating original text based on given prompts, with a maximum of 30 billion parameters for capturing intricate language patterns and nuances.",2375624,932,text-generation,transformers,YES,YES,Known official domain + HTTP verification
gemma-4-26B-A4B-it-AWQ-4bit,cyankiwi,https://huggingface.co/cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Gemma-4-26B-A4B-it-AWQ-4bit is a specialized AI model designed for generating textual continuations based on image-text inputs, developed by cyankiwi, using the transformers library.",2374050,94,image-text-to-text,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-Reranker-4B,Qwen,https://huggingface.co/Qwen/Qwen3-Reranker-4B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-Reranker-4B is a text-ranking AI model designed to enhance the relevance and ranking of search results, utilizing advanced natural language processing techniques within the transformers library.",2354459,153,text-ranking,transformers,YES,YES,Known official domain + HTTP verification
Qwen3-Embedding-8B,Qwen,https://huggingface.co/Qwen/Qwen3-Embedding-8B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-Embedding-8B is a specialized AI model designed for feature extraction, using sentence-transformers library, capable of generating dense vector representations from text inputs for tasks such as semantic text similarity and text classification.",2354209,792,feature-extraction,sentence-transformers,YES,YES,Known official domain + HTTP verification
indonesian-roberta-base-posp-tagger,w11wo,https://huggingface.co/w11wo/indonesian-roberta-base-posp-tagger,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The indonesian-roberta-base-posp-tagger model is a specialized AI intelligence designed for part-of-speech tagging in the Indonesian language, created by w11wo and implemented using the transformers library, capable of processing text to identify and categorize parts of speech.",2335449,10,token-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
paraphrase-MiniLM-L6-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-MiniLM-L6-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"paraphrase-MiniLM-L6-v2 is a sentence-transformers model specifically designed for sentence similarity tasks, offering efficient and accurate embeddings for comparison and classification purposes.",2314826,150,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-Coder-7B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-Coder-7B-Instruct is a specialized AI model designed for generating text, particularly suited for coding tasks, crafted using the transformers library and trained on a comprehensive dataset of programming-related instructions and outputs.",2302088,791,text-generation,transformers,YES,YES,Known official domain + HTTP verification
mivolo_v2,iitolstykh,https://huggingface.co/iitolstykh/mivolo_v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"mivolo_v2 is a specialized AI model developed by iitolstykh for advanced natural language processing tasks, leveraging the mivolo library for its functionality.",2282798,32,,mivolo,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-14B-AWQ,Qwen,https://huggingface.co/Qwen/Qwen3-14B-AWQ,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-14B-AWQ is a text-generation AI model designed for creating extensive and nuanced text content, including writing articles, stories, and scripts, using Alibaba Cloud's advanced AI technology.",2274100,73,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen3-VL-8B-Instruct-FP8,Qwen,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct-FP8,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-VL-8B-Instruct-FP8 is a specialized AI model designed for generating text that matches the visual content and prompt provided, utilizing an 8-bit mixed-precision training and a 3 billion parameter size, making it adept at tasks requiring image-text-to-text synthesis.",2266124,81,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
siglip2-giant-opt-patch16-384,google,https://huggingface.co/google/siglip2-giant-opt-patch16-384,https://www.google.com/,https://www.google.com/favicon.ico,"The siglip2-giant-opt-patch16-384 model, developed by Google, is specifically designed for zero-shot image classification tasks, utilizing the transformers library to process and classify images without requiring training on the specific categories in question.",2265607,44,zero-shot-image-classification,transformers,YES,YES,Known official domain + HTTP verification
bge-base-en-v1.5,Xenova,https://huggingface.co/Xenova/bge-base-en-v1.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bge-base-en-v1.5 is a feature extraction model from Xenova designed to process and analyze English text, extracting relevant features for various downstream natural language processing tasks.",2257996,10,feature-extraction,transformers.js,YES,YES,DuckDuckGo search + HTTP verification
wav2vec2-large-xlsr-53-arabic,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-arabic,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The wav2vec2-large-xlsr-53-arabic model by jonatasgrosman is a specialized automatic speech recognition system designed for Arabic, utilizing the Transformers library, trained on a large dataset to convert spoken Arabic speech into text with high accuracy.",2251517,55,automatic-speech-recognition,transformers,YES,YES,DuckDuckGo search + HTTP verification
w2v-bert-2.0,facebook,https://huggingface.co/facebook/w2v-bert-2.0,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"w2v-bert-2.0 is a dataset created by Facebook for feature extraction, combining the efficiency of Word2Vec with BERT's advanced natural language processing capabilities within the transformers library.",2245550,227,feature-extraction,transformers,YES,YES,DuckDuckGo search + HTTP verification
sam3,facebook,https://huggingface.co/facebook/sam3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"sam3 is a specialized AI model designed for generating masks in the context of image processing, utilizing the transformers library and developed by Facebook.",2241669,2870,mask-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
tiny-Qwen2ForSequenceClassification-2.5,trl-internal-testing,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForSequenceClassification-2.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"tiny-Qwen2ForSequenceClassification-2.5 is a pre-trained model designed for text classification tasks, specifically tailored for efficient inference in resource-constrained environments, using the transformers library.",2206218,1,text-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
Voxtral-Mini-4B-Realtime-2602,mistralai,https://huggingface.co/mistralai/Voxtral-Mini-4B-Realtime-2602,https://mistral.ai/,https://mistral.ai/favicon.ico,"Voxtral-Mini-4B-Realtime-2602 is a specialized AI model designed for real-time automatic speech recognition, utilizing VLLM library, and trained on a 4 billion parameter model size, serving organizations like mistralai for efficient speech-to-text conversion tasks.",2160524,963,automatic-speech-recognition,vllm,YES,YES,Known official domain + HTTP verification
docling-models,docling-project,https://huggingface.co/docling-project/docling-models,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"docling-models is a specialized AI model designed for advanced text generation and processing tasks using the transformers library, serving various applications in natural language understanding and generation.",2156286,215,,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen-Image_ComfyUI,Comfy-Org,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen-Image_ComfyUI is a diffusion-based AI model specifically designed for generating high-quality images from text prompts using ComfyUI's pipeline, leveraging Comfy-Org's library and framework.",2151272,475,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
bigvgan_v2_22khz_80band_256x,nvidia,https://huggingface.co/nvidia/bigvgan_v2_22khz_80band_256x,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bigvgan_v2_22khz_80band_256x is a specialized audio-to-audio generative model developed by NVIDIA, capable of converting one audio signal into another, with a focus on processing audio data at 22,050 Hz sampling rate, having 80 bands of analysis, and operating on audio clips of 256x resolution.",2151059,33,audio-to-audio,PyTorch,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-Uncensored-GGUF,JonathanColetti,https://huggingface.co/JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.8-27B-Uncensored-GGUF is a text-generation AI model developed by JonathanColetti, capable of producing long sequences of text with uncensored language, using the llama.cpp library.",2143289,928,text-generation,llama.cpp,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,DavidAU,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF is a specialized image-text-to-text AI model developed by DavidAU, capable of generating nuanced and contextually rich responses from images and text inputs, particularly adept at handling complex fable fusion tasks, uncensored heretical content, and advanced multimodal processing.",2122773,2302,image-text-to-text,,YES,YES,DuckDuckGo search + HTTP verification
nomic-embed-text-v2-moe,nomic-ai,https://huggingface.co/nomic-ai/nomic-embed-text-v2-moe,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"nomic-embed-text-v2-moe is a sentence similarity model created by nomic-ai, utilizing the sentence-transformers library, designed to embed and compare textual data for efficient similarity detection.",2118670,497,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
GLM-OCR,zai-org,https://huggingface.co/zai-org/GLM-OCR,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"GLM-OCR is a specialized AI model developed by zai-org for the image-text-to-text pipeline, enabling it to convert images containing text to precise textual descriptions using the transformers library.",2104188,2010,image-text-to-text,transformers,YES,YES,DuckDuckGo search + HTTP verification
Bio_ClinicalBERT,emilyalsentzer,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Bio_ClinicalBERT is a fine-tuned BERT model specifically designed for biomedical text, designed to fill masked tokens in clinical and biological datasets, developed by emilyalsentzer and utilizing the transformers library.",2102624,439,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
bert-base-NER,dslim,https://huggingface.co/dslim/bert-base-NER,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The bert-base-NER model, developed by dslim, is a token-classification AI designed to accurately identify and classify named entities in text, such as names of people, locations, entities, and more.",2093765,731,token-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.6-35B-A3B-NVFP4,unsloth,https://huggingface.co/unsloth/Qwen3.6-35B-A3B-NVFP4,https://unsloth.ai/,https://unsloth.ai/favicon.ico,"Qwen3.6-35B-A3B-NVFP4 is a specialized AI model designed for generating text that accurately matches given image and text inputs, utilizing the transformers library, aimed at unsloth.",2076235,116,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Qwen3-VL-Reranker-2B,Qwen,https://huggingface.co/Qwen/Qwen3-VL-Reranker-2B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-VL-Reranker-2B is a specialized AI model designed for text-ranking tasks, using a 2 billion-parameter transformer-based library, optimized for advanced information retrieval and ranking applications.",2073041,216,text-ranking,transformers,YES,YES,Known official domain + HTTP verification
fashion-clip,patrickjohncyh,https://huggingface.co/patrickjohncyh/fashion-clip,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The fashion-clip model, developed by patrickjohncyh, uses zero-shot image classification to identify and categorize clothing items using the transformers library, demonstrating its ability to classify new and unseen clothing types with no prior training on those specific categories.",2070622,291,zero-shot-image-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
faster-whisper-small,Systran,https://huggingface.co/Systran/faster-whisper-small,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"faster-whisper-small is a compact AI model specifically designed for automatic speech recognition tasks, utilizing Systran's pipeline and compatible with the ctranslate2 library, enabling efficient processing and deployment in various speech recognition applications.",2063261,46,automatic-speech-recognition,ctranslate2,YES,YES,DuckDuckGo search + HTTP verification
parakeet-tdt-0.6b-v2,mlx-community,https://huggingface.co/mlx-community/parakeet-tdt-0.6b-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"parakeet-tdt-0.6b-v2 is a specialized AI model designed for automatic speech recognition, utilizing the mlx framework, designed for the mlx-community organization.",2060926,47,automatic-speech-recognition,mlx,YES,YES,DuckDuckGo search + HTTP verification
deepseek-v4-gguf,antirez,https://huggingface.co/antirez/deepseek-v4-gguf,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"deepseek-v4-gguf is a text-generation AI model developed by antirez, optimized to use the gguf library for efficient deployment and execution.",2056003,466,text-generation,gguf,YES,YES,DuckDuckGo search + HTTP verification
wav2vec2-large-robust-24-ft-age-gender,audeering,https://huggingface.co/audeering/wav2vec2-large-robust-24-ft-age-gender,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The wav2vec2-large-robust-24-ft-age-gender model, created by Audeering, specializes in audio classification tasks, focusing on identifying age and gender from audio inputs, using the Transformers library.",2050580,58,audio-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-14B-Instruct-AWQ,Qwen,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct-AWQ,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-14B-Instruct-AWQ is a text-generation AI model trained on a vast corpus of data, specifically designed for generating human-like responses in a conversational manner, using the Instruct prompt engineering technique, and equipped with Alibaba Cloud's advanced Accelerated WordQ (AWQ) inference framework for enhanced efficiency.",2047300,37,text-generation,transformers,YES,YES,Known official domain + HTTP verification
ESMC-6B,biohub,https://huggingface.co/biohub/ESMC-6B,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"ESMC-6B is a specialized transformer model developed by biohub for the task of filling masked tokens in biomedical text, designed to enhance understanding and analysis of scientific literature and data.",2043444,27,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
stsb-bert-tiny-safetensors,sentence-transformers-testing,https://huggingface.co/sentence-transformers-testing/stsb-bert-tiny-safetensors,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"stsb-bert-tiny-safetensors is a sentence similarity model from the sentence-transformers-testing organization, using the BERT architecture and saved in the Safetensors format, specifically tailored for sentence similarity tasks.",2026695,4,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
romanian-wav2vec2,gigant,https://huggingface.co/gigant/romanian-wav2vec2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The romanian-wav2vec2 model, developed by gigant, is a specialized automatic speech recognition AI designed to transcribe spoken Romanian into text using the wav2vec2 architecture, leveraging the transformers library for efficient and accurate processing.",2024183,8,automatic-speech-recognition,transformers,YES,YES,DuckDuckGo search + HTTP verification
Gemma-4-31B-IT-NVFP4,nvidia,https://huggingface.co/nvidia/Gemma-4-31B-IT-NVFP4,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Gemma-4-31B-IT-NVFP4 is a text-generation AI model optimized by NVIDIA using the Model Optimizer, designed to produce coherent and contextually relevant text.",2018109,561,text-generation,Model Optimizer,YES,YES,DuckDuckGo search + HTTP verification
chronos-bolt-base,autogluon,https://huggingface.co/autogluon/chronos-bolt-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"chronos-bolt-base is a time-series forecasting model developed by autogluon specifically designed for accurately predicting future values in time series datasets, leveraging its robust algorithmic framework and deep learning capabilities.",2013264,34,time-series-forecasting,,YES,YES,DuckDuckGo search + HTTP verification
multilingual-e5-large-instruct,intfloat,https://huggingface.co/intfloat/multilingual-e5-large-instruct,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"multilingual-e5-large-instruct is a feature extraction model created by intfloat, using the sentence-transformers library, designed to process multilingual text inputs and generate dense vector representations that can be used for various downstream applications such as document retrieval, text classification, and clustering.",2011816,635,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-VL-32B-Instruct-AWQ,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct-AWQ,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-VL-32B-Instruct-AWQ is a specialized AI model designed for generating coherent text that aligns with both an input image and a textual prompt, utilizing a 32-bit instruction tuning and advanced adaptive weights quantization (AWQ) techniques within the transformers library.",1999794,65,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,HauhauCS,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive is a specialized AI model designed for generating text from image-text inputs, developed by HauhauCS and featuring aggressive and uncensored content in its outputs.",1995808,3572,image-text-to-text,,YES,YES,DuckDuckGo search + HTTP verification
