model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name
Qwen-Image_ComfyUI,Comfy-Org,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI,https://huggingface.co/api/organizations/Comfy-Org/avatar,Repackaged model files for ComfyUI.,2151272,475,,diffusion-single-file
bigvgan_v2_22khz_80band_256x,nvidia,https://huggingface.co/nvidia/bigvgan_v2_22khz_80band_256x,https://huggingface.co/nvidia/bigvgan_v2_22khz_80band_256x,https://huggingface.co/api/organizations/nvidia/avatar,[[Paper]](https://arxiv.org/abs/2206.04658) - [[Code]](https://github.com/NVIDIA/BigVGAN) - [[Showcase]](https://bigvgan-demo.github.io/) - [[Project Page]](https://research.nvidia.com/labs/adlr/projects/bigvgan/) - [[Weights]](https://huggingface.co/collections/nvidia/bigvgan-66959df3d97fd7d98d97dc9a) - [[Demo]](https://huggingface.co/spaces/nvidia/BigVGAN),2151059,33,audio-to-audio,PyTorch
Qwen3.8-27B-Uncensored-GGUF,JonathanColetti,https://huggingface.co/JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,https://huggingface.co/JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,https://huggingface.co/api/organizations/JonathanColetti/avatar,"Uncensored [Qwen3.8-27B](https://huggingface.co/Qwen/Qwen3.8-27B), published as GGUF quantizations with the multi token prediction (MTP) head retained and verified.",2143289,928,text-generation,llama.cpp
Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,DavidAU,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,https://huggingface.co/api/organizations/DavidAU/avatar,"<small><b><font color=""red"">Important:</font></b> This is the first fine tune to exceed 700 ""arc-c"" (The OpenAI, Claude and Gemini ""zone of intelligence"") in both 8 bit and 4 bit. This repo contains both ""regular"" and ""MTP"" Neo MAX Imatrix GGUF quants. Many other additional quant types avail too. 3rd parties confirm this model's performance in the ""community tab"". 40B versions: [Eleanor-DECKARD](https://huggingface.co/DavidAU/Qwen3.6-40B-Fable-Fusion-6-Core-Deckard-Eleanor-Heretic-Uncensored-NM-",2122773,2302,image-text-to-text,
nomic-embed-text-v2-moe,nomic-ai,https://huggingface.co/nomic-ai/nomic-embed-text-v2-moe,https://huggingface.co/nomic-ai/nomic-embed-text-v2-moe,https://huggingface.co/api/organizations/nomic-ai/avatar,[Blog](https://www.nomic.ai/blog/posts/nomic-embed-text-v2) | [Technical Report](https://huggingface.co/papers/2502.07972) | [AWS SageMaker](https://aws.amazon.com/marketplace/seller-profile?id=seller-tpqidcj54zawi) | [Atlas Embedding and Unstructured Data Analytics Platform](https://atlas.nomic.ai),2118670,497,sentence-similarity,sentence-transformers
GLM-OCR,zai-org,https://huggingface.co/zai-org/GLM-OCR,https://huggingface.co/zai-org/GLM-OCR,https://huggingface.co/api/organizations/zai-org/avatar,"<div align=""center""> <img src=https://raw.githubusercontent.com/zai-org/GLM-OCR/refs/heads/main/resources/logo.svg width=""40%""/> </div> <p align=""center""> 👋 Join our <a href=""https://raw.githubusercontent.com/zai-org/GLM-OCR/refs/heads/main/resources/wechat.jpg"" target=""_blank"">WeChat</a> and <a href=""https://discord.gg/QR7SARHRxK"" target=""_blank"">Discord</a> community <br> 📍 Use GLM-OCR's <a href=""https://docs.z.ai/guides/vlm/glm-ocr"" target=""_blank"">API</a> <br> 👉 <a href=""https://github.com/z",2104188,2010,image-text-to-text,transformers
Bio_ClinicalBERT,emilyalsentzer,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,https://huggingface.co/api/organizations/emilyalsentzer/avatar,The [Publicly Available Clinical BERT Embeddings](https://arxiv.org/abs/1904.03323) paper contains four unique clinicalBERT models: initialized with BERT-Base (`cased_L-12_H-768_A-12`) or BioBERT (`BioBERT-Base v1.0 + PubMed 200K + PMC 270K`) & trained on either all MIMIC notes or only discharge summaries.,2102624,439,fill-mask,transformers
bert-base-NER,dslim,https://huggingface.co/dslim/bert-base-NER,https://huggingface.co/dslim/bert-base-NER,https://huggingface.co/api/organizations/dslim/avatar,"If my open source models have been useful to you, please consider supporting me in building small, useful AI models for everyone (and help me afford med school / help out my parents financially). Thanks!",2093765,731,token-classification,transformers
Qwen3.6-35B-A3B-NVFP4,unsloth,https://huggingface.co/unsloth/Qwen3.6-35B-A3B-NVFP4,https://huggingface.co/unsloth/Qwen3.6-35B-A3B-NVFP4,https://huggingface.co/api/organizations/unsloth/avatar,"<div> <p style=""margin: 0 0 0px 0; margin-top: 0px;""> <em>See <a href=""https://unsloth.ai/docs/basics/unsloth-dynamic-v2.0-gguf"">Unsloth Dynamic 2.0 GGUFs</a> for our quantization benchmarks.</em> </p> <div style=""display: flex; gap: 5px; align-items: center; margin-bottom: 0px;""> <a href=""https://github.com/unslothai/unsloth/""> <img src=""https://github.com/unslothai/unsloth/raw/main/images/unsloth%20new%20logo.png"" width=""133""> </a> <a href=""https://discord.gg/unsloth""> <img src=""https://github",2076235,116,image-text-to-text,transformers
Qwen3-VL-Reranker-2B,Qwen,https://huggingface.co/Qwen/Qwen3-VL-Reranker-2B,https://huggingface.co/Qwen/Qwen3-VL-Reranker-2B,https://huggingface.co/api/organizations/Qwen/avatar,"<p align=""center""> <img src=""https://model-demo.oss-cn-hangzhou.aliyuncs.com/Qwen3-VL-Reranker.png"" width=""400""/> <p>",2073041,216,text-ranking,transformers
fashion-clip,patrickjohncyh,https://huggingface.co/patrickjohncyh/fashion-clip,https://huggingface.co/patrickjohncyh/fashion-clip,https://huggingface.co/api/organizations/patrickjohncyh/avatar,[![Youtube Video](https://img.shields.io/badge/youtube-video-red)](https://www.youtube.com/watch?v=uqRSc-KSA1Y) [![HuggingFace Model](https://img.shields.io/badge/HF%20Model-Weights-yellow)](https://huggingface.co/patrickjohncyh/fashion-clip) [![Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/drive/1Z1hAxBnWjF76bEi9KQ6CMBBEmI_FVDrW?usp=sharing) [![Medium Blog Post](https://raw.githubusercontent.com/aleen42/badges/master/src/medium.svg)],2070622,291,zero-shot-image-classification,transformers
faster-whisper-small,Systran,https://huggingface.co/Systran/faster-whisper-small,https://huggingface.co/Systran/faster-whisper-small,https://huggingface.co/api/organizations/Systran/avatar,This repository contains the conversion of [openai/whisper-small](https://huggingface.co/openai/whisper-small) to the [CTranslate2](https://github.com/OpenNMT/CTranslate2) model format.,2063261,46,automatic-speech-recognition,ctranslate2
parakeet-tdt-0.6b-v2,mlx-community,https://huggingface.co/mlx-community/parakeet-tdt-0.6b-v2,https://huggingface.co/mlx-community/parakeet-tdt-0.6b-v2,https://huggingface.co/api/organizations/mlx-community/avatar,This model was converted to MLX format from [nvidia/parakeet-tdt-0.6b-v2](https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2) using [the conversion script](https://gist.github.com/senstella/77178bb5d6ec67bf8c54705a5f490bed). Please refer to [original model card](https://huggingface.co/nvidia/parakeet-tdt-0.6b-v2) for more details on the model.,2060926,47,automatic-speech-recognition,mlx
deepseek-v4-gguf,antirez,https://huggingface.co/antirez/deepseek-v4-gguf,https://huggingface.co/antirez/deepseek-v4-gguf,https://huggingface.co/api/organizations/antirez/avatar,"This quants are specific for the DS4 inference engine. They may work with other inference engines or not (they should, but not the MTP model which requires a specific loader).",2056003,466,text-generation,gguf
wav2vec2-large-robust-24-ft-age-gender,audeering,https://huggingface.co/audeering/wav2vec2-large-robust-24-ft-age-gender,https://huggingface.co/audeering/wav2vec2-large-robust-24-ft-age-gender,https://huggingface.co/api/organizations/audeering/avatar,"The model expects a raw audio signal as input and outputs predictions for age in a range of approximately 0...1 (0...100 years) and gender expressing the probababilty for being child, female, or male. In addition, it also provides the pooled states of the last transformer layer. The model was created by fine-tuning [ Wav2Vec2-Large-Robust](https://huggingface.co/facebook/wav2vec2-large-robust) on [aGender](https://paperswithcode.com/dataset/agender), [Mozilla Common Voice](https://commonvoice.mo",2050580,58,audio-classification,transformers
Qwen2.5-14B-Instruct-AWQ,Qwen,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct-AWQ,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct-AWQ,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen2.5 is the latest series of Qwen large language models. For Qwen2.5, we release a number of base language models and instruction-tuned language models ranging from 0.5 to 72 billion parameters. Qwen2.5 brings the following improvements upon Qwen2:",2047300,37,text-generation,transformers
ESMC-6B,biohub,https://huggingface.co/biohub/ESMC-6B,https://huggingface.co/biohub/ESMC-6B,https://huggingface.co/api/organizations/biohub/avatar,ESMC is a state-of-the-art protein language model that has learned the rules of protein biology from training on billions of protein sequences. ESMC provides representations of proteins enabling novel AI applications from therapeutic protein engineering to unlocking basic insights into protein biology across life.,2043444,27,fill-mask,transformers
stsb-bert-tiny-safetensors,sentence-transformers-testing,https://huggingface.co/sentence-transformers-testing/stsb-bert-tiny-safetensors,https://huggingface.co/sentence-transformers-testing/stsb-bert-tiny-safetensors,https://huggingface.co/api/organizations/sentence-transformers-testing/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 128 dimensional dense vector space and can be used for tasks like clustering or semantic search.,2026695,4,sentence-similarity,sentence-transformers
romanian-wav2vec2,gigant,https://huggingface.co/gigant/romanian-wav2vec2,https://huggingface.co/gigant/romanian-wav2vec2,https://huggingface.co/api/organizations/gigant/avatar,You can test this model online with the [**Space for Romanian Speech Recognition**](https://huggingface.co/spaces/gigant/romanian-speech-recognition),2024183,8,automatic-speech-recognition,transformers
Gemma-4-31B-IT-NVFP4,nvidia,https://huggingface.co/nvidia/Gemma-4-31B-IT-NVFP4,https://huggingface.co/nvidia/Gemma-4-31B-IT-NVFP4,https://huggingface.co/api/organizations/nvidia/avatar,"Gemma 4 31B IT is an open multimodal model built by Google DeepMind that handles text and image inputs, can process video as sequences of frames, and generates text output. It is designed to deliver frontier-level performance for reasoning, agentic workflows, coding, and multimodal understanding on consumer GPUs and workstations, with a 256K-token context window and support for over 140 languages. The model uses a hybrid attention mechanism that interleaves local sliding-window and full global a",2018109,561,text-generation,Model Optimizer
chronos-bolt-base,autogluon,https://huggingface.co/autogluon/chronos-bolt-base,https://huggingface.co/autogluon/chronos-bolt-base,https://huggingface.co/api/organizations/autogluon/avatar,"🚀 **Update Feb 14, 2025**: Chronos-Bolt models are now available on Amazon SageMaker JumpStart! Check out the [tutorial notebook](https://github.com/amazon-science/chronos-forecasting/blob/main/notebooks/deploy-chronos-to-amazon-sagemaker.ipynb) to learn how to deploy Chronos endpoints for production use in a few lines of code.",2013264,34,time-series-forecasting,
multilingual-e5-large-instruct,intfloat,https://huggingface.co/intfloat/multilingual-e5-large-instruct,https://huggingface.co/intfloat/multilingual-e5-large-instruct,https://huggingface.co/api/organizations/intfloat/avatar,"[Multilingual E5 Text Embeddings: A Technical Report](https://arxiv.org/pdf/2402.05672). Liang Wang, Nan Yang, Xiaolong Huang, Linjun Yang, Rangan Majumder, Furu Wei, arXiv 2024",2011816,635,feature-extraction,sentence-transformers
Qwen2.5-VL-32B-Instruct-AWQ,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct-AWQ,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct-AWQ,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",1999794,65,image-text-to-text,transformers
Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,HauhauCS,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,https://huggingface.co/api/organizations/HauhauCS/avatar,"> **[Join the Discord](https://discord.gg/SZ5vacTXYf)** for updates, roadmaps, projects, or just to chat.",1995808,3572,image-text-to-text,
colbertv2.0,colbert-ir,https://huggingface.co/colbert-ir/colbertv2.0,https://huggingface.co/colbert-ir/colbertv2.0,https://huggingface.co/api/organizations/colbert-ir/avatar,"<p align=""center""> <img align=""center"" src=""https://github.com/stanford-futuredata/ColBERT/blob/main/docs/images/colbertofficial.png?raw=true"" width=""430px"" /> </p> <p align=""left"">",1990705,366,,transformers
Qwen2.5-32B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen2.5 is the latest series of Qwen large language models. For Qwen2.5, we release a number of base language models and instruction-tuned language models ranging from 0.5 to 72 billion parameters. Qwen2.5 brings the following improvements upon Qwen2:",1989696,358,text-generation,transformers
GLM-4.7-Flash,zai-org,https://huggingface.co/zai-org/GLM-4.7-Flash,https://huggingface.co/zai-org/GLM-4.7-Flash,https://huggingface.co/api/organizations/zai-org/avatar,"<div align=""center""> <img src=https://raw.githubusercontent.com/zai-org/GLM-4.5/refs/heads/main/resources/logo.svg width=""15%""/> </div> <p align=""center""> 👋 Join our <a href=""https://discord.gg/QR7SARHRxK"" target=""_blank"">Discord</a> community. <br> 📖 Check out the GLM-4.7 <a href=""https://z.ai/blog/glm-4.7"" target=""_blank"">technical blog</a>, <a href=""https://arxiv.org/abs/2508.06471"" target=""_blank"">technical report(GLM-4.5)</a>. <br> 📍 Use GLM-4.7-Flash API services on <a href=""https://docs.z",1948824,1831,text-generation,transformers
Qwen3.6-27B-AWQ-INT4,cyankiwi,https://huggingface.co/cyankiwi/Qwen3.6-27B-AWQ-INT4,https://huggingface.co/cyankiwi/Qwen3.6-27B-AWQ-INT4,https://huggingface.co/api/organizations/cyankiwi/avatar,"<div align=""center""> <img src=""https://huggingface.co/buckets/cyankiwi/activation-aware-2.0/resolve/banner/cyankiwi-banner-awq-0.png""> </div>",1945481,110,image-text-to-text,transformers
distilgpt2,distilbert,https://huggingface.co/distilbert/distilgpt2,https://huggingface.co/distilbert/distilgpt2,https://huggingface.co/api/organizations/distilbert/avatar,"DistilGPT2 (short for Distilled-GPT2) is an English-language model pre-trained with the supervision of the smallest version of Generative Pre-trained Transformer 2 (GPT-2). Like GPT-2, DistilGPT2 can be used to generate text. Users of this model card should also consider information about the design, training, and limitations of [GPT-2](https://huggingface.co/gpt2).",1940717,639,text-generation,transformers
resnet50.a1_in1k,timm,https://huggingface.co/timm/resnet50.a1_in1k,https://huggingface.co/timm/resnet50.a1_in1k,https://huggingface.co/api/organizations/timm/avatar,A ResNet-B image classification model.,1936518,43,image-classification,timm
llava-1.5-7b-hf,llava-hf,https://huggingface.co/llava-hf/llava-1.5-7b-hf,https://huggingface.co/llava-hf/llava-1.5-7b-hf,https://huggingface.co/api/organizations/llava-hf/avatar,"Below is the model card of Llava model 7b, which is copied from the original Llava model card that you can find [here](https://huggingface.co/liuhaotian/llava-v1.5-13b).",1927882,372,image-text-to-text,transformers
wav2vec2-large-xlsr-53-telugu,anuragshas,https://huggingface.co/anuragshas/wav2vec2-large-xlsr-53-telugu,https://huggingface.co/anuragshas/wav2vec2-large-xlsr-53-telugu,https://huggingface.co/api/organizations/anuragshas/avatar,"Fine-tuned [facebook/wav2vec2-large-xlsr-53](https://huggingface.co/facebook/wav2vec2-large-xlsr-53) on Telugu using the [OpenSLR SLR66](http://openslr.org/66/) dataset. When using this model, make sure that your speech input is sampled at 16kHz. The model can be used directly (without a language model) as follows: ```python import torch import torchaudio from datasets import load_dataset from transformers import Wav2Vec2ForCTC, Wav2Vec2Processor import pandas as pd df = pd.read_csv(""/content/te",1925382,5,automatic-speech-recognition,transformers
faster-whisper-tiny,Systran,https://huggingface.co/Systran/faster-whisper-tiny,https://huggingface.co/Systran/faster-whisper-tiny,https://huggingface.co/api/organizations/Systran/avatar,This repository contains the conversion of [openai/whisper-tiny](https://huggingface.co/openai/whisper-tiny) to the [CTranslate2](https://github.com/OpenNMT/CTranslate2) model format.,1923900,25,automatic-speech-recognition,ctranslate2
Ternary-Bonsai-27B-mlx-2bit,prism-ml,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-mlx-2bit,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-mlx-2bit,https://huggingface.co/api/organizations/prism-ml/avatar,"<p align=""center""> <img src=""./assets/bonsai-logo.svg"" width=""280"" alt=""Bonsai""> </p>",1919520,185,text-generation,mlx
Bonsai-27B-mlx-1bit,prism-ml,https://huggingface.co/prism-ml/Bonsai-27B-mlx-1bit,https://huggingface.co/prism-ml/Bonsai-27B-mlx-1bit,https://huggingface.co/api/organizations/prism-ml/avatar,"<p align=""center""> <img src=""./assets/bonsai-logo.svg"" width=""280"" alt=""Bonsai""> </p>",1919048,232,text-generation,mlx
wav2vec2-large-voxrex-swedish,KBLab,https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,https://huggingface.co/api/organizations/KBLab/avatar,"Finetuned version of KBs [VoxRex large](https://huggingface.co/KBLab/wav2vec2-large-voxrex) model using Swedish radio broadcasts, NST and Common Voice data. Evalutation without a language model gives the following: WER for NST + Common Voice test set (2% of total sentences) is **2.5%**. WER for Common Voice test set is **8.49%** directly and **7.37%** with a 4-gram language model.",1917715,13,automatic-speech-recognition,transformers
Qwen3-1.7B-Base,Qwen,https://huggingface.co/Qwen/Qwen3-1.7B-Base,https://huggingface.co/Qwen/Qwen3-1.7B-Base,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Building upon extensive advancements in training data, model architecture, and optimization techniques, Qwen3 delivers the following key improvements over the previously released Qwen2.5:",1911362,78,text-generation,transformers
Qwen2.5-Coder-14B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",1910108,182,text-generation,transformers
tf_efficientnetv2_s.in21k_ft_in1k,timm,https://huggingface.co/timm/tf_efficientnetv2_s.in21k_ft_in1k,https://huggingface.co/timm/tf_efficientnetv2_s.in21k_ft_in1k,https://huggingface.co/api/organizations/timm/avatar,"A EfficientNet-v2 image classification model. Trained on ImageNet-21k and fine-tuned on ImageNet-1k in Tensorflow by paper authors, ported to PyTorch by Ross Wightman.",1897857,4,image-classification,timm
nemotron-3.5-asr-streaming-0.6b-gguf,handy-computer,https://huggingface.co/handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf,https://huggingface.co/handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf,https://huggingface.co/api/organizations/handy-computer/avatar,GGUF conversions of [nvidia/nemotron-3.5-asr-streaming-0.6b](https://huggingface.co/nvidia/nemotron-3.5-asr-streaming-0.6b) for use with [transcribe.cpp](https://github.com/handy-computer/transcribe.cpp).,1890210,6,automatic-speech-recognition,transcribe.cpp
spkrec-ecapa-voxceleb,speechbrain,https://huggingface.co/speechbrain/spkrec-ecapa-voxceleb,https://huggingface.co/speechbrain/spkrec-ecapa-voxceleb,https://huggingface.co/api/organizations/speechbrain/avatar,"<iframe src=""https://ghbtns.com/github-btn.html?user=speechbrain&repo=speechbrain&type=star&count=true&size=large&v=2"" frameborder=""0"" scrolling=""0"" width=""170"" height=""30"" title=""GitHub""></iframe> <br/><br/>",1886337,341,,speechbrain
Qwen2.5-Coder-14B-Instruct-AWQ,Qwen,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",1879061,24,text-generation,transformers
musicgen-medium,facebook,https://huggingface.co/facebook/musicgen-medium,https://huggingface.co/facebook/musicgen-medium,https://huggingface.co/api/organizations/facebook/avatar,"MusicGen is a text-to-music model capable of genreating high-quality music samples conditioned on text descriptions or audio prompts. It is a single stage auto-regressive Transformer model trained over a 32kHz EnCodec tokenizer with 4 codebooks sampled at 50 Hz. Unlike existing methods, like MusicLM, MusicGen doesn't require a self-supervised semantic representation, and it generates all 4 codebooks in one pass. By introducing a small delay between the codebooks, we show we can predict them in p",1877098,167,text-to-audio,transformers
Qwen3-4B-Base,Qwen,https://huggingface.co/Qwen/Qwen3-4B-Base,https://huggingface.co/Qwen/Qwen3-4B-Base,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Building upon extensive advancements in training data, model architecture, and optimization techniques, Qwen3 delivers the following key improvements over the previously released Qwen2.5:",1876075,96,text-generation,transformers
Huihui-Qwen3.8-27B-abliterated-GGUF,huihui-ai,https://huggingface.co/huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF,https://huggingface.co/huihui-ai/Huihui-Qwen3.8-27B-abliterated-GGUF,https://huggingface.co/api/organizations/huihui-ai/avatar,"This is an uncensored version of [Qwen/Qwen3.8-27B](https://huggingface.co/Qwen/Qwen3.8-27B) created with abliteration (see [remove-refusals-with-transformers](https://github.com/Sumandora/remove-refusals-with-transformers) to know more about it). This is a crude, proof-of-concept implementation to remove refusals from an LLM model without using TransformerLens.",1869259,503,image-text-to-text,transformers
Laguna-XS-2.1-APEX-GGUF,mudler,https://huggingface.co/mudler/Laguna-XS-2.1-APEX-GGUF,https://huggingface.co/mudler/Laguna-XS-2.1-APEX-GGUF,https://huggingface.co/api/organizations/mudler/avatar,"<!-- apex-banner-v2 --> <div style=""background-color: #f59e0b; color: white; padding: 20px; border-radius: 10px; text-align: center; margin: 20px 0;""> <h2 style=""color: white; margin: 0 0 10px 0;"">⚡ Each donation = another big MoE quantized</h2> <p style=""font-size: 18px; margin: 0 0 15px 0;"">I host <b>30+ free APEX MoE quantizations</b> as independent research. My only local hardware is an <b>NVIDIA DGX Spark</b> (122 GB unified memory), enough for ~30-50B-class MoEs, but <b>bigger ones (200B+)",1860777,12,,
wav2vec2-large-xlsr-53-persian,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,https://huggingface.co/api/organizations/jonatasgrosman/avatar,"Fine-tuned [facebook/wav2vec2-large-xlsr-53](https://huggingface.co/facebook/wav2vec2-large-xlsr-53) on Persian using the train and validation splits of [Common Voice 6.1](https://huggingface.co/datasets/common_voice). When using this model, make sure that your speech input is sampled at 16kHz.",1858751,28,automatic-speech-recognition,transformers
e5-large-v2,intfloat,https://huggingface.co/intfloat/e5-large-v2,https://huggingface.co/intfloat/e5-large-v2,https://huggingface.co/api/organizations/intfloat/avatar,"[Text Embeddings by Weakly-Supervised Contrastive Pre-training](https://arxiv.org/pdf/2212.03533.pdf). Liang Wang, Nan Yang, Xiaolong Huang, Binxing Jiao, Linjun Yang, Daxin Jiang, Rangan Majumder, Furu Wei, arXiv 2022",1857780,282,sentence-similarity,sentence-transformers
filipino-wav2vec2-l-xls-r-300m-official,Khalsuu,https://huggingface.co/Khalsuu/filipino-wav2vec2-l-xls-r-300m-official,https://huggingface.co/Khalsuu/filipino-wav2vec2-l-xls-r-300m-official,https://huggingface.co/api/organizations/Khalsuu/avatar,"<!-- This model card has been generated automatically according to the information the Trainer had access to. You should probably proofread and complete it, then remove this comment. -->",1852784,2,automatic-speech-recognition,transformers
fairface_age_image_detection,dima806,https://huggingface.co/dima806/fairface_age_image_detection,https://huggingface.co/dima806/fairface_age_image_detection,https://huggingface.co/api/organizations/dima806/avatar,Detects age group with about 59% accuracy based on an image.,1851274,81,image-classification,transformers
docling-layout-heron,docling-project,https://huggingface.co/docling-project/docling-layout-heron,https://huggingface.co/docling-project/docling-layout-heron,https://huggingface.co/api/organizations/docling-project/avatar,"🚀 **`heron`** is the **default layout analysis model** of the [Docling project](https://github.com/docling-project/docling), designed for robust and high-quality document layout understanding.",1847933,53,,
paraphrase-mpnet-base-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-mpnet-base-v2,https://huggingface.co/sentence-transformers/paraphrase-mpnet-base-v2,https://huggingface.co/api/organizations/sentence-transformers/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 768 dimensional dense vector space and can be used for tasks like clustering or semantic search.,1841907,50,sentence-similarity,sentence-transformers
Qwen2-VL-2B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2-VL-2B-Instruct,https://huggingface.co/Qwen/Qwen2-VL-2B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",1831357,518,image-text-to-text,transformers
mmarco-mMiniLMv2-L12-H384-v1,cross-encoder,https://huggingface.co/cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,https://huggingface.co/cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,https://huggingface.co/api/organizations/cross-encoder/avatar,"This model was trained on the [MMARCO](https://hf.co/unicamp-dl/mmarco) dataset. It is a machine translated version of MS MARCO using Google Translate. It was translated to 14 languages. In our experiments, we observed that it performs also well for other languages.",1828510,79,text-ranking,sentence-transformers
blip-image-captioning-base,Salesforce,https://huggingface.co/Salesforce/blip-image-captioning-base,https://huggingface.co/Salesforce/blip-image-captioning-base,https://huggingface.co/api/organizations/Salesforce/avatar,Model card for image captioning pretrained on COCO dataset - base architecture (with ViT base backbone).,1823300,885,image-to-text,transformers
bert-base-multilingual-cased,google-bert,https://huggingface.co/google-bert/bert-base-multilingual-cased,https://huggingface.co/google-bert/bert-base-multilingual-cased,https://huggingface.co/api/organizations/google-bert/avatar,Pretrained model on the top 104 languages with the largest Wikipedia using a masked language modeling (MLM) objective. It was introduced in [this paper](https://arxiv.org/abs/1810.04805) and first released in [this repository](https://github.com/google-research/bert). This model is case sensitive: it makes a difference between english and English.,1822299,603,fill-mask,transformers
stanford-deidentifier-base,StanfordAIMI,https://huggingface.co/StanfordAIMI/stanford-deidentifier-base,https://huggingface.co/StanfordAIMI/stanford-deidentifier-base,https://huggingface.co/api/organizations/StanfordAIMI/avatar,Stanford de-identifier was trained on a variety of radiology and biomedical documents with the goal of automatising the de-identification process while reaching satisfactory accuracy for use in production. Manuscript in-proceedings.,1802608,85,token-classification,transformers
